path,status,query_used_or_tried,source_url,note
assets/images/banners/banner_artisan.jpg,downloaded,Tunisia travel destination landscape travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/banners/banner_blue_doors.jpg,downloaded,Tunisia travel destination landscape travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/banners/banner_culinary.jpg,downloaded,Tunisia travel destination landscape travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/banners/banner_oasis.jpg,downloaded,Tunisia travel destination landscape travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/artisan.jpg,downloaded,artisan Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/crafts.jpg,downloaded,Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/cuisine.jpg,downloaded,Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/cycling.jpg,downloaded,cycling Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/8934528/pexels-photo-8934528.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/horse_riding.jpg,downloaded,horse riding Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/31329192/pexels-photo-31329192.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/nature.jpg,downloaded,Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/planner_cover.jpg,downloaded,Planner Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/mockups/tunisia_map.jpg,downloaded,Tunisia travel concept editorial travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/onboarding/auth_cover.jpg,downloaded,Tunisia travel storytelling lifestyle travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/onboarding/discover_tunisia.jpg,downloaded,Tunisia travel storytelling lifestyle travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/onboarding/splash_cover.jpg,downloaded,Tunisia travel storytelling lifestyle travel photography,https://images.pexels.com/photos/28447097/pexels-photo-28447097.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
